Data;Loja;Região;Produto;Ação Merchandising;Investimento R$;Qtd Vendida SellOut;Faturamento R$;Houve Ruptura Auditoria;Share Nossa Marca;Share Concorrente A;Share Concorrente B
02/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Faixa de Gôndola;150;22;484;0;0,3;0,42;0,28
02/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Nenhuma;0;37;1110;0;0,45;0,36;0,19
02/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Nenhuma;0;0;0;1;0;0,57;0,43
02/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Faixa de Gôndola;150;37;814;0;0,47;0,28;0,25
02/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Faixa de Gôndola;150;49;1470;0;0,42;0,14;0,44
02/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Nenhuma;0;0;0;1;0;0,51;0,49
02/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Nenhuma;0;13;286;0;0,48;0,13;0,39
02/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Faixa de Gôndola;150;110;3300;0;0,46;0,19;0,35
02/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Faixa de Gôndola;150;0;0;1;0;0,45;0,55
02/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Faixa de Gôndola;150;50;1100;0;0,54;0,23;0,23
02/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Nenhuma;0;0;0;1;0;0,52;0,48
02/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Display Checkout;300;42;1050;0;0,5;0,15;0,35
02/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Nenhuma;0;32;704;0;0,39;0,4;0,21
02/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Display Checkout;300;91;2730;0;0,52;0,1;0,38
03/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Faixa de Gôndola;150;51;1275;0;0,47;0,17;0,36
03/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Ilha Principal;750;46;1012;0;0,43;0,31;0,26
03/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Display Checkout;300;0;0;1;0;0,59;0,41
03/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Display Checkout;300;127;3175;0;0,34;0,46;0,2
03/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Display Checkout;300;0;0;1;0;0,48;0,52
03/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Ponta de Gôndola;500;15;450;0;0,36;0,15;0,49
03/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Faixa de Gôndola;150;0;0;1;0;0,45;0,55
03/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Nenhuma;0;0;0;1;0;0,45;0,55
03/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Nenhuma;0;38;1140;0;0,46;0,25;0,29
03/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Ponta de Gôndola;500;73;1825;0;0,35;0,11;0,54
03/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Faixa de Gôndola;150;33;726;0;0,48;0,31;0,21
03/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Display Checkout;300;119;3570;0;0,47;0,2;0,33
03/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Nenhuma;0;32;800;0;0,48;0,16;0,36
03/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Faixa de Gôndola;150;21;462;0;0,46;0,33;0,21
03/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Faixa de Gôndola;150;16;480;0;0,55;0,31;0,14
04/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Faixa de Gôndola;150;0;0;1;0;0,44;0,56
04/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Display Checkout;300;94;2068;0;0,52;0,31;0,17
04/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Nenhuma;0;15;450;0;0,53;0,28;0,19
04/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Nenhuma;0;29;725;0;0,47;0,1;0,43
04/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Ilha Principal;750;68;1496;0;0,41;0,41;0,18
04/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Ilha Principal;750;28;840;0;0,38;0,35;0,27
04/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Nenhuma;0;0;0;1;0;0,53;0,47
04/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Faixa de Gôndola;150;129;2838;0;0,46;0,17;0,37
04/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Faixa de Gôndola;150;0;0;1;0;0,5;0,5
04/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Nenhuma;0;25;625;0;0,43;0,27;0,3
04/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Faixa de Gôndola;150;75;1650;0;0,42;0,28;0,3
04/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Nenhuma;0;48;1440;0;0,54;0,31;0,15
04/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Nenhuma;0;45;1125;0;0,54;0,17;0,29
04/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Faixa de Gôndola;150;74;1628;0;0,51;0,17;0,32
04/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Display Checkout;300;81;2430;0;0,34;0,3;0,36
05/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Nenhuma;0;44;1100;0;0,32;0,18;0,5
05/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Nenhuma;0;31;682;0;0,37;0,21;0,42
05/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Nenhuma;0;43;1290;0;0,37;0,38;0,25
05/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Nenhuma;0;0;0;1;0;0,58;0,42
05/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Faixa de Gôndola;150;59;1298;0;0,35;0,13;0,52
05/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Display Checkout;300;129;3870;0;0,38;0,23;0,39
05/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Ponta de Gôndola;500;100;2500;0;0,38;0,15;0,47
05/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Nenhuma;0;0;0;1;0;0,57;0,43
05/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Display Checkout;300;29;870;0;0,39;0,14;0,47
05/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Faixa de Gôndola;150;122;3050;0;0,54;0,2;0,26
05/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Nenhuma;0;34;748;0;0,44;0,29;0,27
05/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Nenhuma;0;0;0;1;0;0,5;0,5
05/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Display Checkout;300;77;1925;0;0,41;0,33;0,26
05/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Display Checkout;300;76;1672;0;0,51;0,27;0,22
05/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Faixa de Gôndola;150;15;450;0;0,41;0,18;0,41
06/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Ponta de Gôndola;500;123;3075;0;0,37;0,43;0,2
06/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Nenhuma;0;26;572;0;0,48;0,11;0,41
06/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Faixa de Gôndola;150;100;3000;0;0,3;0,15;0,55
06/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Ponta de Gôndola;500;124;3100;0;0,54;0,14;0,32
06/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Ponta de Gôndola;500;99;2178;0;0,42;0,15;0,43
06/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Faixa de Gôndola;150;24;720;0;0,54;0,3;0,16
06/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Display Checkout;300;33;825;0;0,43;0,36;0,21
06/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Nenhuma;0;28;616;0;0,54;0,31;0,15
06/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Nenhuma;0;24;720;0;0,44;0,21;0,35
06/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Nenhuma;0;47;1175;0;0,54;0,19;0,27
06/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Nenhuma;0;0;0;1;0;0,44;0,56
06/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Ponta de Gôndola;500;16;480;0;0,31;0,34;0,35
06/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Display Checkout;300;107;2675;0;0,51;0,11;0,38
06/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Nenhuma;0;8;176;0;0,47;0,19;0,34
06/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Nenhuma;0;29;870;0;0,5;0,17;0,33
07/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Ilha Principal;750;78;1950;0;0,44;0,31;0,25
07/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Ponta de Gôndola;500;110;2420;0;0,39;0,4;0,21
07/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Nenhuma;0;17;510;0;0,48;0,16;0,36
07/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Display Checkout;300;98;2450;0;0,51;0,18;0,31
07/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Nenhuma;0;16;352;0;0,54;0,29;0,17
07/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Display Checkout;300;0;0;1;0;0,54;0,46
07/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Faixa de Gôndola;150;30;750;0;0,41;0,19;0,4
07/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Display Checkout;300;114;2508;0;0,54;0,27;0,19
07/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Ponta de Gôndola;500;0;0;1;0;0,59;0,41
07/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Nenhuma;0;39;975;0;0,52;0,18;0,3
07/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Ponta de Gôndola;500;88;1936;0;0,51;0,31;0,18
07/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Nenhuma;0;44;1320;0;0,32;0,41;0,27
07/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Nenhuma;0;41;1025;0;0,36;0,3;0,34
07/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Nenhuma;0;0;0;1;0;0,45;0,55
07/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Nenhuma;0;40;1200;0;0,39;0,13;0,48
08/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Nenhuma;0;31;775;0;0,36;0,21;0,43
08/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Faixa de Gôndola;150;128;2816;0;0,42;0,12;0,46
08/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Ponta de Gôndola;500;119;3570;0;0,49;0,28;0,23
08/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Ilha Principal;750;127;3175;0;0,32;0,3;0,38
08/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Faixa de Gôndola;150;59;1298;0;0,54;0,11;0,35
08/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Nenhuma;0;15;450;0;0,53;0,16;0,31
08/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Nenhuma;0;45;1125;0;0,35;0,2;0,45
08/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Nenhuma;0;7;154;0;0,53;0,11;0,36
08/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Display Checkout;300;0;0;1;0;0,58;0,42
08/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Faixa de Gôndola;150;22;550;0;0,34;0,33;0,33
08/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Display Checkout;300;42;924;0;0,32;0,47;0,21
08/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Nenhuma;0;21;630;0;0,37;0,24;0,39
08/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Nenhuma;0;17;425;0;0,53;0,29;0,18
08/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Nenhuma;0;29;638;0;0,4;0,4;0,2
08/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Nenhuma;0;37;1110;0;0,49;0,22;0,29
09/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Nenhuma;0;30;750;0;0,4;0,41;0,19
09/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Nenhuma;0;0;0;1;0;0,49;0,51
09/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Faixa de Gôndola;150;126;3780;0;0,32;0,36;0,32
09/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Faixa de Gôndola;150;17;425;0;0,44;0,32;0,24
09/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Nenhuma;0;0;0;1;0;0,45;0,55
09/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Faixa de Gôndola;150;65;1950;0;0,37;0,17;0,46
09/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Nenhuma;0;0;0;1;0;0,41;0,59
09/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Display Checkout;300;48;1056;0;0,42;0,35;0,23
09/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Display Checkout;300;122;3660;0;0,44;0,36;0,2
09/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Faixa de Gôndola;150;61;1525;0;0,41;0,35;0,24
09/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Nenhuma;0;0;0;1;0;0,58;0,42
09/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Nenhuma;0;0;0;1;0;0,52;0,48
09/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Nenhuma;0;38;950;0;0,39;0,27;0,34
09/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Nenhuma;0;46;1012;0;0,52;0,32;0,16
09/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Ponta de Gôndola;500;0;0;1;0;0,5;0,5
10/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Display Checkout;300;48;1200;0;0,46;0,2;0,34
10/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Ilha Principal;750;89;1958;0;0,32;0,15;0,53
10/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Ponta de Gôndola;500;30;900;0;0,46;0,15;0,39
10/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Display Checkout;300;0;0;1;0;0,49;0,51
10/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Nenhuma;0;23;506;0;0,51;0,18;0,31
10/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Display Checkout;300;84;2520;0;0,33;0,27;0,4
10/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Ilha Principal;750;92;2300;0;0,38;0,21;0,41
10/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Ponta de Gôndola;500;100;2200;0;0,32;0,43;0,25
10/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Nenhuma;0;30;900;0;0,52;0,12;0,36
10/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Faixa de Gôndola;150;0;0;1;0;0,51;0,49
10/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Nenhuma;0;32;704;0;0,39;0,25;0,36
10/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Nenhuma;0;11;330;0;0,47;0,33;0,2
10/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Nenhuma;0;22;550;0;0,41;0,27;0,32
10/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Ilha Principal;750;115;2530;0;0,35;0,3;0,35
10/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Nenhuma;0;48;1440;0;0,36;0,22;0,42
11/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Faixa de Gôndola;150;119;2975;0;0,42;0,13;0,45
11/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Faixa de Gôndola;150;22;484;0;0,45;0,26;0,29
11/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Display Checkout;300;66;1980;0;0,46;0,26;0,28
11/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Display Checkout;300;0;0;1;0;0,52;0,48
11/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Ilha Principal;750;84;1848;0;0,39;0,26;0,35
11/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Nenhuma;0;34;1020;0;0,34;0,42;0,24
11/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Ponta de Gôndola;500;54;1350;0;0,47;0,37;0,16
11/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Nenhuma;0;15;330;0;0,52;0,29;0,19
11/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Display Checkout;300;65;1950;0;0,51;0,27;0,22
11/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Faixa de Gôndola;150;59;1475;0;0,49;0,15;0,36
11/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Display Checkout;300;111;2442;0;0,48;0,24;0,28
11/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Nenhuma;0;0;0;1;0;0,42;0,58
11/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Faixa de Gôndola;150;0;0;1;0;0,46;0,54
11/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Faixa de Gôndola;150;24;528;0;0,44;0,26;0,3
11/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Ilha Principal;750;98;2940;0;0,36;0,34;0,3
12/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Nenhuma;0;28;700;0;0,45;0,33;0,22
12/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Ponta de Gôndola;500;74;1628;0;0,54;0,13;0,33
12/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Nenhuma;0;0;0;1;0;0,44;0,56
12/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Ponta de Gôndola;500;36;900;0;0,31;0,4;0,29
12/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Nenhuma;0;0;0;1;0;0,56;0,44
12/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Nenhuma;0;23;690;0;0,47;0,24;0,29
12/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Display Checkout;300;103;2575;0;0,47;0,22;0,31
12/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Nenhuma;0;0;0;1;0;0,52;0,48
12/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Faixa de Gôndola;150;111;3330;0;0,36;0,41;0,23
12/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Display Checkout;300;118;2950;0;0,36;0,29;0,35
12/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Faixa de Gôndola;150;65;1430;0;0,38;0,15;0,47
12/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Nenhuma;0;34;1020;0;0,52;0,29;0,19
12/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Ilha Principal;750;115;2875;0;0,49;0,14;0,37
12/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Ilha Principal;750;19;418;0;0,52;0,18;0,3
12/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Nenhuma;0;40;1200;0;0,41;0,29;0,3
13/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Faixa de Gôndola;150;43;1075;0;0,36;0,35;0,29
13/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Nenhuma;0;40;880;0;0,44;0,17;0,39
13/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Display Checkout;300;88;2640;0;0,39;0,17;0,44
13/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Faixa de Gôndola;150;121;3025;0;0,34;0,31;0,35
13/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Faixa de Gôndola;150;125;2750;0;0,48;0,26;0,26
13/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Ponta de Gôndola;500;0;0;1;0;0,56;0,44
13/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Ponta de Gôndola;500;127;3175;0;0,44;0,28;0,28
13/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Faixa de Gôndola;150;54;1188;0;0,51;0,32;0,17
13/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Ponta de Gôndola;500;104;3120;0;0,51;0,13;0,36
13/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Nenhuma;0;0;0;1;0;0,5;0,5
13/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Faixa de Gôndola;150;87;1914;0;0,49;0,15;0,36
13/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Nenhuma;0;39;1170;0;0,4;0,27;0,33
13/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Nenhuma;0;22;550;0;0,42;0,38;0,2
13/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Faixa de Gôndola;150;65;1430;0;0,36;0,3;0,34
13/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Ilha Principal;750;47;1410;0;0,39;0,29;0,32
14/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Nenhuma;0;25;625;0;0,43;0,39;0,18
14/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Faixa de Gôndola;150;100;2200;0;0,32;0,47;0,21
14/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Faixa de Gôndola;150;27;810;0;0,4;0,24;0,36
14/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Nenhuma;0;34;850;0;0,35;0,11;0,54
14/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Faixa de Gôndola;150;32;704;0;0,37;0,34;0,29
14/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Faixa de Gôndola;150;127;3810;0;0,4;0,28;0,32
14/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Ilha Principal;750;43;1075;0;0,32;0,38;0,3
14/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Display Checkout;300;0;0;1;0;0,51;0,49
14/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Nenhuma;0;0;0;1;0;0,57;0,43
14/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Nenhuma;0;7;175;0;0,36;0,33;0,31
14/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Ponta de Gôndola;500;125;2750;0;0,44;0,36;0,2
14/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Faixa de Gôndola;150;49;1470;0;0,36;0,35;0,29
14/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Nenhuma;0;0;0;1;0;0,48;0,52
14/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Nenhuma;0;35;770;0;0,38;0,13;0,49
14/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Nenhuma;0;25;750;0;0,31;0,17;0,52
15/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Faixa de Gôndola;150;16;400;0;0,53;0,24;0,23
15/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Display Checkout;300;81;1782;0;0,45;0,18;0,37
15/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Nenhuma;0;34;1020;0;0,39;0,38;0,23
15/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Ilha Principal;750;0;0;1;0;0,56;0,44
15/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Ponta de Gôndola;500;73;1606;0;0,52;0,29;0,19
15/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Faixa de Gôndola;150;28;840;0;0,49;0,28;0,23
15/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Faixa de Gôndola;150;36;900;0;0,51;0,34;0,15
15/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Faixa de Gôndola;150;101;2222;0;0,47;0,32;0,21
15/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Faixa de Gôndola;150;55;1650;0;0,37;0,29;0,34
15/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Nenhuma;0;0;0;1;0;0,44;0,56
15/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Ponta de Gôndola;500;71;1562;0;0,37;0,35;0,28
